Date,Open,High,Low,Close,O-C Returns,H-L Returns,C-C Returns
2026-08-31 00:00:00-04:00,319.6000061035156,330.80999755859375,312.79998779296875,319.9700012207031,0.11576818214066675,5.757675980967489,1.1858832412636522
2026-08-24 00:00:00-04:00,311.4700012207031,322.3699951171875,308.2099914550781,319.70001220703125,2.6423125675260324,4.594271456048241,-0.08437947702655269
2026-08-17 00:00:00-04:00,306.2099914550781,320.2799987792969,302.94000244140625,309.3500061035156,1.0254448698804621,5.723904468920203,-3.2374118574675426
2026-08-10 00:00:00-04:00,306.8299865722656,309.9700012207031,300.57000732421875,305.92999267578125,-0.2933200586222382,3.1273891830280967,-1.105548201149853
2026-08-03 00:00:00-04:00,309.313228844601,316.0174689505616,301.0603670246513,313.05999755859375,1.211318613170322,4.9681404675513265,2.3306001547774846
2026-07-27 00:00:00-04:00,334.2517499678951,344.2731063334242,299.7415030462749,308.6438293457031,-7.661267480170738,14.856669108072904,-1.4106459615825129
2026-07-20 00:00:00-04:00,333.2226307372531,334.0818750563203,319.07482847232825,332.7330322265625,-0.14692834925628084,4.7033000553014634,7.8048548490103675
2026-07-13 00:00:00-04:00,316.7467996791822,334.7013154010385,311.6412178149259,333.452392578125,5.274115765609354,7.399565997013697,0.21619745618544073
2026-07-06 00:00:00-04:00,307.0951461699058,316.6369356310425,306.7354710025913,315.0483093261719,2.589804253000428,3.2280142221854615,-5.519253621082121
2026-06-29 00:00:00-04:00,286.4829225266114,309.15337194761725,279.60884646095855,308.3640441894531,7.637845030992799,10.56637723040854,-2.1216635477318113
2026-06-22 00:00:00-04:00,297.0538012082891,302.15941370241234,273.51410564235374,283.53546142578125,-4.5508051832768865,10.473064265839042,-8.051711355950975
2026-06-15 00:00:00-04:00,293.8665418559601,301.80970326551375,291.4486443278618,297.7532043457031,1.3225944216705234,3.5550204604816686,5.014449638301599
2026-06-08 00:00:00-04:00,308.47396195776577,317.12650365860503,287.1323816080534,290.879150390625,-5.7038238999081985,10.446095241007951,-2.30864147043639
2026-06-01 00:00:00-04:00,309.36320006430657,316.6668986772518,304.7571565958632,307.0751647949219,-0.739595164812455,3.9079450059255123,5.567953008164062
2026-05-25 00:00:00-04:00,309.2932613338499,314.7285763294451,307.40490573134,311.7911071777344,0.8075978872324385,2.382418257340918,1.5357615735424268
2026-05-18 00:00:00-04:00,299.98127043944976,311.13165741506583,294.655876769788,308.55389404296875,2.8577196139481473,5.591533020110173,-1.038263459169242
2026-05-11 00:00:00-04:00,291.72842220779347,302.93875555297063,289.9799301204788,299.9713134765625,2.825535889299723,4.4688697687139225,-2.78154991141063
2026-05-04 00:00:00-04:00,279.16181569968694,294.2349225642168,274.370348169768,292.7974853515625,4.884503855836918,7.240058747950949,-2.3915047215208207
2026-04-27 00:00:00-04:00,265.61600070101764,286.70836594964845,264.59782863029284,279.6409912109375,5.280175318092622,8.356280712435241,-4.493376753160283
2026-04-20 00:00:00-04:00,269.84840741114294,275.27871876409296,264.9271972672859,270.5771179199219,0.2700443985458335,3.9073079712398697,-3.241253455641846
