Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-12-01 00:00:00-05:00,0.0994021809329664,0.1062284255335273,0.08447067439556122,0.08447067439556122,11099804800,0.0,0.0
1985-03-01 00:00:00-05:00,0.08447067926131767,0.08873660534328404,0.05759382126767198,0.05930019170045853,12122745600,0.0,0.0
1985-06-01 00:00:00-04:00,0.058020413966807356,0.06313952552446761,0.04948779810804203,0.051194168627262115,10230729600,0.0,0.0
1985-09-01 00:00:00-04:00,0.05119415582868486,0.0708189384188353,0.05034097078237172,0.06868597865104675,8467782400,0.0,0.0
1985-12-01 00:00:00-05:00,0.06868600293315429,0.0912969383309006,0.06569985136738961,0.08532387763261795,13283872000,0.0,0.0
1986-03-01 00:00:00-05:00,0.08532382968846595,0.12798612616385643,0.08276427508289813,0.12627975642681122,13681068800,0.0,0.0
1986-06-01 00:00:00-04:00,0.12627975642681122,0.1335318306572471,0.10238905358354816,0.12627975642681122,13398515200,0.0,0.0
1986-09-01 00:00:00-04:00,0.12670637649691063,0.14078469569201466,0.10793477919245476,0.13651800155639648,11768400000,0.0,0.0
1986-12-01 00:00:00-05:00,0.13651805761649385,0.24359969004978124,0.1335319116142344,0.23890717327594757,19647667200,0.0,0.0
1987-03-01 00:00:00-05:00,0.24012520503650361,0.2811434788212071,0.21278019879618548,0.27003443241119385,16611436800,0.000536,0.0
1987-06-01 00:00:00-04:00,0.27209476570389357,0.37134916164880344,0.24984794381355294,0.36963799595832825,9687092800,0.000536,2.0
1987-09-01 00:00:00-04:00,0.3755886930358014,0.40988917134658914,0.1895096440640483,0.22638247907161713,13885424000,0.000714,0.0
1987-12-01 00:00:00-05:00,0.2302654689576069,0.31790364564016815,0.2044895913221947,0.295565128326416,14292331200,0.000714,0.0
1988-03-01 00:00:00-05:00,0.29787149977225713,0.32886344719401245,0.257408726781565,0.2858189046382904,10818539200,0.000714,0.0
1988-06-01 00:00:00-04:00,0.2863578420490376,0.3277586017798531,0.2708318661945493,0.2751449942588806,8374464000,0.000714,0.0
1988-09-01 00:00:00-04:00,0.2750064357845686,0.3061387727544143,0.24560281353160357,0.2603050172328949,9563836800,0.000893,0.0
1988-12-01 00:00:00-05:00,0.26188982702341523,0.30524854651428596,0.24454568621930778,0.2514835000038147,15178172800,0.000893,0.0
1989-03-01 00:00:00-05:00,0.25203452829545364,0.34068085523792385,0.2329143395887079,0.3319897949695587,13079483200,0.000893,0.0
1989-06-01 00:00:00-04:00,0.33277753382922026,0.35020089831988405,0.26308642533934834,0.3101276159286499,10982216000,0.000893,0.0
1989-09-01 00:00:00-04:00,0.3108917032650118,0.3519369598568242,0.29691915013266795,0.3091452419757843,8670838400,0.000982,0.0
1989-12-01 00:00:00-05:00,0.3118930607670051,0.32065433548222194,0.22515873141080314,0.23830023407936096,12172574400,0.000982,0.0
1990-03-01 00:00:00-05:00,0.23544757408387798,0.3110015856150616,0.233690625710053,0.2899172902107239,12314579200,0.000982,0.0
1990-06-01 00:00:00-04:00,0.2916746492995568,0.33661491296060736,0.23615918722778587,0.2608325481414795,11244206400,0.000982,0.0
1990-09-01 00:00:00-04:00,0.25816827191979047,0.272314346971966,0.17152278607874683,0.2599364221096039,10517673600,0.001071,0.0
1990-12-01 00:00:00-05:00,0.26402710951467384,0.44122724179976663,0.26225521536570195,0.40578722953796387,16677180800,0.001071,0.0
1991-03-01 00:00:00-05:00,0.4050491648573179,0.5205233562590528,0.31266913336587043,0.3339877426624298,20426492800,0.001071,0.0
1991-06-01 00:00:00-04:00,0.33474166849190407,0.39528013450510685,0.28666695955619537,0.37747427821159363,12047806400,0.001071,0.0
1991-09-01 00:00:00-04:00,0.3765975095997427,0.40158505427241614,0.33197741666973685,0.36231905221939087,9683094400,0.001071,0.0
1991-12-01 00:00:00-05:00,0.36299681507803766,0.5006852621766036,0.3469035887357556,0.48280400037765503,9845326400,0.001071,0.0
1992-03-01 00:00:00-05:00,0.4845918413787536,0.4899559692065098,0.3790898706235316,0.4273703396320343,9620777600,0.0,0.0
1992-06-01 00:00:00-04:00,0.41141551420831707,0.42758441934799213,0.29823137921759685,0.33056923747062683,11231024000,0.002142,0.0
1992-09-01 00:00:00-04:00,0.33307284431738815,0.4284941726781996,0.29886591354143704,0.4140911102294922,9713636800,0.001071,0.0
1992-12-01 00:00:00-05:00,0.4131898886125212,0.4709276687343117,0.3716898804818867,0.38251593708992004,13527864000,0.001071,0.0
1993-03-01 00:00:00-05:00,0.3833156836695005,0.42761439552714386,0.3381137973555254,0.40953299403190613,10776483200,0.001071,0.0
1993-06-01 00:00:00-04:00,0.4104274956319522,0.4231398596306027,0.18523765209668785,0.19250139594078064,18500473600,0.001071,0.0
1993-09-01 00:00:00-04:00,0.19319314489324552,0.2551609112156762,0.1603872078457245,0.22964482009410858,13025454400,0.001071,0.0
1993-12-01 00:00:00-05:00,0.23412803029012422,0.2798565696935927,0.19388735178272296,0.26705268025398254,15573465600,0.001071,0.0
1994-03-01 00:00:00-05:00,0.2699433723022845,0.2827978186023933,0.19832539090881943,0.21485312283039093,12661779200,0.001071,0.0
1994-06-01 00:00:00-04:00,0.21006874914354637,0.2754849153204493,0.1815069085382448,0.2667326033115387,14094752000,0.001071,0.0
1994-09-01 00:00:00-04:00,0.2615275896904196,0.32344424223117996,0.2402732322847454,0.2753894329071045,14995075200,0.001071,0.0
1994-12-01 00:00:00-05:00,0.2742932078374296,0.35630295843961274,0.25761346910180555,0.2928270399570465,17249243200,0.001071,0.0
1995-03-01 00:00:00-05:00,0.2954974832044109,0.3298787100392044,0.2499644669143085,0.3089713752269745,19056116800,0.001071,0.0
1995-06-01 00:00:00-04:00,0.31214410873658116,0.37364138466785174,0.3093489736678159,0.32053038477897644,16514444800,0.001071,0.0
1995-09-01 00:00:00-04:00,0.32152883018037176,0.3402219744473733,0.25142759241336254,0.2850762903690338,18674286400,0.001071,0.0
1995-12-01 00:00:00-05:00,0.28414174625472,0.30003105303662675,0.20083863088900322,0.20562896132469177,21512556800,0.0,0.0
1996-03-01 00:00:00-05:00,0.2065636012385163,0.21591060102482404,0.17198028106740465,0.1953473687171936,9817729600,0.0,0.0
1996-06-01 00:00:00-04:00,0.19347807508154252,0.194412684915229,0.1196383823837633,0.181327223777771,12664803200,0.0,0.0
1996-09-01 00:00:00-04:00,0.18039266765117645,0.20749820782972858,0.15141788229019718,0.18039266765117645,11611891200,0.0,0.0
1996-12-01 00:00:00-05:00,0.1803926254813236,0.19067423281675897,0.11309608334335668,0.12150762230157852,17794392000,0.0,0.0
1997-03-01 00:00:00-05:00,0.1233768899120692,0.1486131987176025,0.11870380166823956,0.12431234866380692,10604675200,0.0,0.0
1997-06-01 00:00:00-04:00,0.1271161666487078,0.22105095237372324,0.09533670693098163,0.1626332551240921,27030382400,0.0,0.0
1997-09-01 00:00:00-04:00,0.1645032916164666,0.18506568049919023,0.11870375521410807,0.1327238380908966,15583601600,0.0,0.0
1997-12-01 00:00:00-05:00,0.13225656244220196,0.1785234223967954,0.09533671393672646,0.17665418982505798,22663536000,0.0,0.0
1998-03-01 00:00:00-05:00,0.17618604025820603,0.23647297362197914,0.16169864253694874,0.1990858018398285,25511203200,0.0,0.0
1998-06-01 00:00:00-04:00,0.19815112380249178,0.32713648649252475,0.19160881836770585,0.23320172727108002,28058374400,0.0,0.0
1998-09-01 00:00:00-04:00,0.23460369306691656,0.3089107016422947,0.21310585603236507,0.2388094812631607,31134768000,0.0,0.0
1998-12-01 00:00:00-05:00,0.23927682898103378,0.3537748443293335,0.23647298624825308,0.2603073716163635,36168025600,0.0,0.0
1999-03-01 00:00:00-05:00,0.2603072362655006,0.37387059495950503,0.23927670456532832,0.32947298884391785,34749870400,0.0,0.0
1999-06-01 00:00:00-04:00,0.3364835623242083,0.49257449084484967,0.3145184006016321,0.4879005551338196,27629806400,0.0,0.0
1999-09-01 00:00:00-04:00,0.5009861215140653,0.775780892589235,0.42948383546076824,0.7318514585494995,42060894400,0.0,0.0
1999-12-01 00:00:00-05:00,0.7552185155970595,0.9085047538168277,0.6467954586560747,0.8570983409881592,29293174400,0.0,0.0
2000-03-01 00:00:00-05:00,0.8865403446606972,1.124415204513317,0.6112783395722706,0.6281022429466248,27168512000,0.0,0.0
2000-06-01 00:00:00-04:00,0.6112783935905879,0.9197210088024211,0.6009967717512805,0.9113094806671143,19488061600,0.0,2.0
2000-09-01 00:00:00-04:00,0.9169169824462615,0.9589772103872415,0.24114599904507025,0.24675455689430237,44911092800,0.0,0.0
2000-12-01 00:00:00-05:00,0.2542314752707262,0.33648356458737555,0.20375970556185022,0.2729254961013794,29592197600,0.0,0.0
2001-03-01 00:00:00-05:00,0.26638234692456186,0.40557482627161684,0.2570361723939525,0.2983485460281372,29426488000,0.0,0.0
2001-06-01 00:00:00-04:00,0.30104016751829066,0.3771602931423024,0.2584188442895946,0.2774118185043335,21422727200,0.0,0.0
2001-09-01 00:00:00-04:00,0.27666389929321605,0.32227584850732965,0.21953675543723566,0.3185373842716217,18445515200,0.0,0.0
2001-12-01 00:00:00-05:00,0.3149481462611825,0.3885265692125644,0.30044231314101755,0.3245195746421814,20982640000,0.0,0.0
2002-03-01 00:00:00-05:00,0.32795895029269245,0.39136714270568224,0.3263141825522718,0.3484468162059784,17717576800,0.0,0.0
2002-06-01 00:00:00-04:00,0.3497935535413231,0.3506904638006485,0.20637683934372442,0.2205836921930313,21978118400,0.0,0.0
2002-09-01 00:00:00-04:00,0.21669523388480588,0.25991453459332614,0.19979594580735743,0.23179984092712402,16434992000,0.0,0.0
2002-12-01 00:00:00-05:00,0.23778195359494453,0.24077256131399777,0.20278745307398302,0.2244720607995987,14690575200,0.0,0.0
2003-03-01 00:00:00-05:00,0.224472056945538,0.28429084927247666,0.19022540237105848,0.2684392035007477,22615292000,0.0,0.0
2003-06-01 00:00:00-04:00,0.27068192265442215,0.3417177756278749,0.2486983393899786,0.33812838792800903,15639170400,0.0,0.0
2003-09-01 00:00:00-04:00,0.3388762027887562,0.37401977166335315,0.29685281279609427,0.31270527839660645,17361780800,0.0,0.0
2003-12-01 00:00:00-05:00,0.3146490729760736,0.3714772482651375,0.2878801899118935,0.3577193021774292,18303706400,0.0,0.0
2004-03-01 00:00:00-05:00,0.36041097170801706,0.4423632215952108,0.35293404111105187,0.4196317791938782,25860564800,0.0,0.0
2004-06-01 00:00:00-04:00,0.4155943278841904,0.526110174113796,0.4129026989708547,0.5157917141914368,25935179200,0.0,0.0
2004-09-01 00:00:00-04:00,0.5129502068052155,1.0404062185380254,0.5113053889531685,1.0027201175689697,41207476800,0.0,0.0
2004-12-01 00:00:00-05:00,1.0137869170717957,1.359093133041388,0.9212164116407798,1.3417458534240723,63105806400,0.0,2.0
2005-03-01 00:00:00-05:00,1.3456344874440391,1.3492230263111593,0.9903078414251348,1.189206838607788,46909732800,0.0,0.0
2005-06-01 00:00:00-04:00,1.1930952068779406,1.4455319540101335,1.0623896375293507,1.4024626016616821,30822248800,0.0,0.0
2005-09-01 00:00:00-04:00,1.4057520877462037,2.125676909257434,1.3785343034181679,2.028470993041992,44447645200,0.0,0.0
2005-12-01 00:00:00-05:00,2.0622694986974808,2.5841924172090422,1.8813164504499307,2.0485105514526367,53703232800,0.0,0.0
2006-03-01 00:00:00-05:00,2.0589787811434954,2.2073307645289946,1.724888713686239,1.7876989841461182,58920694000,0.0,0.0
2006-06-01 00:00:00-04:00,1.790091641453432,2.093674387742412,1.5002676417608414,2.0293684005737305,53304011600,0.0,0.0
2006-09-01 00:00:00-04:00,2.048211764417311,2.7863819517300947,2.0284717502277627,2.7415170669555664,45944399200,0.0,0.0
2006-12-01 00:00:00-05:00,2.7457040370205945,2.925162160438785,2.296162916402192,2.5306544303894043,57822928800,0.0,0.0
2007-03-01 00:00:00-05:00,2.513306016204449,3.654059541763169,2.504931327171058,3.6247482299804688,46743452000,0.0,0.0
2007-06-01 00:00:00-04:00,3.6220564153584087,4.454142286511805,3.3385135916476165,4.141885757446289,71658913200,0.0,0.0
2007-09-01 00:00:00-04:00,4.1855534583455665,5.762987861907958,3.888251728893205,5.450132369995117,70408805600,0.0,0.0
2007-12-01 00:00:00-05:00,5.439366384366332,6.070459382049798,3.4527683877998454,3.73930287361145,77292521600,0.0,0.0
2008-03-01 00:00:00-05:00,3.721955112355985,5.749828058868819,3.5293370468331444,5.645443439483643,64302470400,0.0,0.0
2008-06-01 00:00:00-04:00,5.640956678247535,5.681335208844586,4.38265833248016,5.07058048248291,52311310800,0.0,0.0
2008-09-01 00:00:00-04:00,5.156421940990691,5.1893224980008625,2.367049079362245,2.771726369857788,89113735200,0.0,0.0
2008-12-01 00:00:00-05:00,2.730749053348162,3.09863774005951,2.338932913400345,2.671229124069214,52187038400,0.0,0.0
2009-03-01 00:00:00-05:00,2.6356382976131996,4.064720892412622,2.462461259726838,4.0620293617248535,36703422000,0.0,0.0
2009-06-01 00:00:00-04:00,4.081765904853022,5.159109834279229,3.9743899164001717,5.031096935272217,31782833600,0.0,0.0
2009-09-01 00:00:00-04:00,5.024520976869595,6.242441975190355,4.908471300593412,5.979237079620361,31400280800,0.0,0.0
2009-12-01 00:00:00-05:00,6.048923650725084,6.448217578156232,5.643348956361238,6.120108604431152,37339033200,0.0,0.0
2010-03-01 00:00:00-05:00,6.1539052358013215,8.149176065969103,5.95949261605903,7.683184623718262,42603957200,0.0,0.0
2010-06-01 00:00:00-04:00,7.7672303916873116,8.345083980571578,7.045511012753451,7.271029949188232,41910078000,0.0,0.0
2010-09-01 00:00:00-04:00,7.401739377317414,9.609969043672525,7.366147283924468,9.30638599395752,33592582800,0.0,0.0
2010-12-01 00:00:00-05:00,9.42960971597103,10.914024823406654,9.41824379537058,10.56438159942627,27110720000,0.0,0.0
2011-03-01 00:00:00-05:00,10.631976234007391,10.817416189402154,9.575867395033283,10.40346622467041,27472348400,0.0,0.0
2011-06-01 00:00:00-04:00,10.434573958779998,12.098446967824973,9.286941044566683,11.510124206542969,36060396400,0.0,0.0
2011-09-01 00:00:00-04:00,11.539731234935424,12.762436647464083,10.595185291745313,11.43145751953125,34082577200,0.0,0.0
2011-12-01 00:00:00-05:00,11.441628045278428,16.378810713183913,11.296267133082992,16.22417640686035,24534941200,0.0,0.0
2012-03-01 00:00:00-05:00,16.395572793299287,19.26181514505747,15.439959540035016,17.27970314025879,42289674000,0.0,0.0
2012-06-01 00:00:00-04:00,17.096455540485827,20.452006135263098,16.47587049522695,19.982511520385742,25041682400,0.094643,0.0
2012-09-01 00:00:00-04:00,20.08947568712507,21.2756633522857,15.261133236144847,17.66097068786621,34271686400,0.094643,0.0
2012-12-01 00:00:00-05:00,18.01793167120919,18.04646154913881,13.202729027825232,13.396976470947266,34600210400,0.094643,0.0
2013-03-01 00:00:00-05:00,13.381777044206062,14.357915092797665,11.76557578207455,13.740153312683105,29587896800,0.108929,0.0
2013-06-01 00:00:00-04:00,13.861626384721358,15.799418199955374,11.95920093101877,14.983830451965332,21614989200,0.108929,0.0
2013-09-01 00:00:00-04:00,15.253205904949747,17.270984869115058,13.833987033984833,17.20107650756836,21693828800,0.108929,0.0
